name,state_id,lat,lon,population,is_capital
Manheim,PA,40.1634279,-76.3949615,4858,0
Porter,IN,41.6155937,-87.0741995,4858,0
Niskayuna,NY,42.7797995,-73.8456775,4859,0
Windsor Heights,IA,41.5977669,-93.7082765,4860,0
Running Springs,CA,34.2077859,-117.1092049,4862,0
Thatcher,AZ,32.8492323,-109.7592479,4865,0
Fruitland,MD,38.3220633,-75.6202029,4866,0
Cheboygan,MI,45.6469563,-84.4744795,4867,0
West Pittston,PA,41.32758,-75.7929716,4868,0
Neptune City,NJ,40.2001133,-74.0279152,4869,0
Salisbury,MA,42.8417577,-70.8606083,4869,0
Long View,NC,35.7292328847,-81.3833474315,4871,0
East Harwich,MA,41.7001112,-70.0272389,4872,0
Telford,PA,40.325815,-75.3275485,4872,0
South Bay,FL,26.6639559,-80.7161701,4876,0
Piedmont,AL,33.9245454,-85.6113501,4878,0
Terrell Hills,TX,29.4749535,-98.4508497,4878,0
Demarest,NJ,40.9573205,-73.9634708,4881,0
Giddings,TX,30.1827159,-96.936371,4881,0
Poolesville,MD,39.1459392,-77.4169311,4883,0
Eagar,AZ,34.1111581,-109.291475,4885,0
Seven Lakes,NC,35.278485,-79.5644763,4888,0
Willits,CA,39.4096079,-123.3555656,4888,0
Walnut Ridge,AR,36.0684035,-90.9559534,4890,0
Spry,PA,39.9184328,-76.6849677,4891,0
Medina,MN,45.0352411,-93.5824586,4892,0
Clinton,IN,39.6569817,-87.3980741,4893,0
East Freehold,NJ,40.2809439,-74.2512566,4894,0
Luray,VA,38.665397,-78.4594522,4895,0
Wrightsboro,NC,34.2885025,-77.9210983,4896,0
Sonora,CA,37.9840911,-120.3821381,4903,0
North Windham,ME,43.8342433,-70.4383871,4904,0
Gilmer,TX,32.7287472,-94.9424379,4905,0
Winona Lake,IN,41.2272668,-85.8219345,4908,0
Gates,NY,43.1533952,-77.6908374,4910,0
Granite Shoals,TX,30.589077,-98.3839153,4910,0
Winnsboro,LA,32.1632079,-91.720681,4910,0
